source,property,unit,scale,bin_index,bin_left,bin_right,bin_label,count,fraction,total_count,num_samples,num_objects,min,max,mean,std,root,notes
base_material_grid,rho,kg_m3,log10,nonpositive,,0,<=0,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,underflow,,0.01,<0.01,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,overflow,100000,,>=1e+05,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,0,0.01,0.0139905031,0.01..0.014,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,1,0.0139905031,0.0195734178,0.014..0.0196,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,2,0.0195734178,0.0273841963,0.0196..0.0274,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,3,0.0273841963,0.0383118685,0.0274..0.0383,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,4,0.0383118685,0.0536002317,0.0383..0.0536,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,5,0.0536002317,0.0749894209,0.0536..0.075,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,6,0.0749894209,0.104913973,0.075..0.105,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,7,0.104913973,0.146779927,0.105..0.147,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,8,0.146779927,0.205352503,0.147..0.205,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,9,0.205352503,0.287298483,0.205..0.287,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,10,0.287298483,0.401945033,0.287..0.402,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,11,0.401945033,0.562341325,0.402..0.562,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,12,0.562341325,0.786743808,0.562..0.787,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,13,0.786743808,1.10069417,0.787..1.1,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,14,1.10069417,1.53992653,1.1..1.54,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,15,1.53992653,2.15443469,1.54..2.15,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,16,2.15443469,3.01416253,2.15..3.01,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,17,3.01416253,4.21696503,3.01..4.22,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,18,4.21696503,5.89974626,4.22..5.9,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,19,5.89974626,8.25404185,5.9..8.25,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,20,8.25404185,11.5478198,8.25..11.5,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,21,11.5478198,16.155981,11.5..16.2,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,22,16.155981,22.6030303,16.2..22.6,0,0,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,23,22.6030303,31.6227766,22.6..31.6,179,3.11408006e-06,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,24,31.6227766,44.2418555,31.6..44.2,2344,4.07787914e-05,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,25,44.2418555,61.8965819,44.2..61.9,24281,0.000422418871,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,26,61.8965819,86.5964323,61.9..86.6,14916,0.000259495074,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,27,86.5964323,121.152766,86.6..121,3641155,0.0633455206,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,28,121.152766,169.498815,121..169,17691952,0.307788575,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
base_material_grid,rho,kg_m3,log10,29,169.498815,237.137371,169..237,1763750,0.0306841269,57480860,1552,1552,27.5034885,7919.52539,1388.16523,1296.24368,/mnt/fillipo/huangbei/pixieverse/render_outputs,One base full material_grid.npy per PixieVerse object.
